Class,Metric,3.2,3.3,Delta
(Anon_1),Coupled,2,2,0
(Anon_1),Derived,0,0,0
(Anon_1),Public Methods,0,0,0
(Anon_1),Cyclomatic,2,2,0
(Anon_1),Cohesion,0,0,0
(Anon_2),Coupled,2,2,0
(Anon_2),Derived,0,0,0
(Anon_2),Public Methods,0,0,0
(Anon_2),Cyclomatic,1,1,0
(Anon_2),Cohesion,0,0,0
(Anon_3),Coupled,1,1,0
(Anon_3),Derived,0,0,0
(Anon_3),Public Methods,0,0,0
(Anon_3),Cyclomatic,1,1,0
(Anon_3),Cohesion,0,0,0
AUTH_METHOD,Coupled,1,1,0
AUTH_METHOD,Derived,0,0,0
AUTH_METHOD,Public Methods,1,1,0
AUTH_METHOD,Cyclomatic,5,5,0
AUTH_METHOD,Cohesion,,,N/A
ArrayList,Coupled,,,N/A
ArrayList,Derived,,,N/A
ArrayList,Public Methods,,,N/A
ArrayList,Cyclomatic,,,N/A
ArrayList,Cohesion,,,N/A
Arrays,Coupled,,,N/A
Arrays,Derived,,,N/A
Arrays,Public Methods,,,N/A
Arrays,Cyclomatic,,,N/A
Arrays,Cohesion,,,N/A
Article,Coupled,4,4,0
Article,Derived,0,0,0
Article,Public Methods,1,1,0
Article,Cyclomatic,46,46,0
Article,Cohesion,90,90,0
ArticleInfo,Coupled,1,1,0
ArticleInfo,Derived,0,0,0
ArticleInfo,Public Methods,0,0,0
ArticleInfo,Cyclomatic,1,1,0
ArticleInfo,Cohesion,100,100,0
ArticleIterator,Coupled,3,3,0
ArticleIterator,Derived,0,0,0
ArticleIterator,Public Methods,0,0,0
ArticleIterator,Cyclomatic,5,5,0
ArticleIterator,Cohesion,20,20,0
ArticlePointer,Coupled,2,2,0
ArticlePointer,Derived,0,0,0
ArticlePointer,Public Methods,0,0,0
ArticlePointer,Cyclomatic,0,0,0
ArticlePointer,Cohesion,0,0,0
ArticleReader,Coupled,9,9,0
ArticleReader,Derived,0,0,0
ArticleReader,Public Methods,1,1,0
ArticleReader,Cyclomatic,11,11,0
ArticleReader,Cohesion,0,0,0
Assert,Coupled,,,N/A
Assert,Derived,,,N/A
Assert,Public Methods,,,N/A
Assert,Cyclomatic,,,N/A
Assert,Cohesion,,,N/A
AssertionFailedError,Coupled,,,N/A
AssertionFailedError,Derived,,,N/A
AssertionFailedError,Public Methods,,,N/A
AssertionFailedError,Cyclomatic,,,N/A
AssertionFailedError,Cohesion,,,N/A
AuthenticatingIMAPClient,Coupled,14,14,0
AuthenticatingIMAPClient,Derived,0,0,0
AuthenticatingIMAPClient,Public Methods,0,0,0
AuthenticatingIMAPClient,Cyclomatic,22,22,0
AuthenticatingIMAPClient,Cohesion,0,0,0
AuthenticatingSMTPClient,Coupled,13,14,1
AuthenticatingSMTPClient,Derived,0,0,0
AuthenticatingSMTPClient,Public Methods,0,0,0
AuthenticatingSMTPClient,Cyclomatic,18,22,4
AuthenticatingSMTPClient,Cohesion,0,0,0
Base64,Coupled,6,6,0
Base64,Derived,0,0,0
Base64,Public Methods,21,21,0
Base64,Cyclomatic,103,103,0
Base64,Cohesion,90,90,0
Base64Test,Coupled,5,5,0
Base64Test,Derived,0,0,0
Base64Test,Public Methods,0,0,0
Base64Test,Cyclomatic,30,30,0
Base64Test,Cohesion,0,0,0
BigInteger,Coupled,,,N/A
BigInteger,Derived,,,N/A
BigInteger,Public Methods,,,N/A
BigInteger,Cyclomatic,,,N/A
BigInteger,Cohesion,,,N/A
BindException,Coupled,,,N/A
BindException,Derived,,,N/A
BindException,Public Methods,,,N/A
BindException,Cyclomatic,,,N/A
BindException,Cohesion,,,N/A
BufferedInputStream,Coupled,,,N/A
BufferedInputStream,Derived,,,N/A
BufferedInputStream,Public Methods,,,N/A
BufferedInputStream,Cyclomatic,,,N/A
BufferedInputStream,Cohesion,,,N/A
BufferedOutputStream,Coupled,,,N/A
BufferedOutputStream,Derived,,,N/A
BufferedOutputStream,Public Methods,,,N/A
BufferedOutputStream,Cyclomatic,,,N/A
BufferedOutputStream,Cohesion,,,N/A
BufferedReader,Coupled,,,N/A
BufferedReader,Derived,,,N/A
BufferedReader,Public Methods,,,N/A
BufferedReader,Cyclomatic,,,N/A
BufferedReader,Cohesion,,,N/A
BufferedWriter,Coupled,,,N/A
BufferedWriter,Derived,,,N/A
BufferedWriter,Public Methods,,,N/A
BufferedWriter,Cyclomatic,,,N/A
BufferedWriter,Cohesion,,,N/A
ByteArrayInputStream,Coupled,,,N/A
ByteArrayInputStream,Derived,,,N/A
ByteArrayInputStream,Public Methods,,,N/A
ByteArrayInputStream,Cyclomatic,,,N/A
ByteArrayInputStream,Cohesion,,,N/A
CRLFLineReader,Coupled,5,5,0
CRLFLineReader,Derived,0,0,0
CRLFLineReader,Public Methods,0,0,0
CRLFLineReader,Cyclomatic,6,6,0
CRLFLineReader,Cohesion,0,0,0
CSL,Coupled,7,7,0
CSL,Derived,0,0,0
CSL,Public Methods,0,0,0
CSL,Cyclomatic,8,8,0
CSL,Cohesion,50,50,0
Calendar,Coupled,,,N/A
Calendar,Derived,,,N/A
Calendar,Public Methods,,,N/A
Calendar,Cyclomatic,,,N/A
Calendar,Cohesion,,,N/A
Certificate,Coupled,,,N/A
Certificate,Derived,,,N/A
Certificate,Public Methods,,,N/A
Certificate,Cyclomatic,,,N/A
Certificate,Cohesion,,,N/A
CertificateException,Coupled,,,N/A
CertificateException,Derived,,,N/A
CertificateException,Public Methods,,,N/A
CertificateException,Cyclomatic,,,N/A
CertificateException,Cohesion,,,N/A
CharGenTCPClient,Coupled,1,1,0
CharGenTCPClient,Derived,0,0,0
CharGenTCPClient,Public Methods,0,0,0
CharGenTCPClient,Cyclomatic,2,2,0
CharGenTCPClient,Cohesion,0,0,0
CharGenUDPClient,Coupled,3,3,0
CharGenUDPClient,Derived,0,0,0
CharGenUDPClient,Public Methods,0,0,0
CharGenUDPClient,Cyclomatic,4,4,0
CharGenUDPClient,Cohesion,50,50,0
Charset,Coupled,N/A,,N/A
Charset,Derived,N/A,,N/A
Charset,Public Methods,N/A,,N/A
Charset,Cyclomatic,N/A,,N/A
Charset,Cohesion,N/A,,N/A
Charsets,Coupled,N/A,2,N/A
Charsets,Derived,N/A,0,N/A
Charsets,Public Methods,N/A,2,N/A
Charsets,Cyclomatic,N/A,4,N/A
Charsets,Cohesion,N/A,0,N/A
Class,Coupled,,,N/A
Class,Derived,,,N/A
Class,Public Methods,,,N/A
Class,Cyclomatic,,,N/A
Class,Cohesion,,,N/A
ClassCastException,Coupled,,,N/A
ClassCastException,Derived,,,N/A
ClassCastException,Public Methods,,,N/A
ClassCastException,Cyclomatic,,,N/A
ClassCastException,Cohesion,,,N/A
ClassNotFoundException,Coupled,,,N/A
ClassNotFoundException,Derived,,,N/A
ClassNotFoundException,Public Methods,,,N/A
ClassNotFoundException,Cyclomatic,,,N/A
ClassNotFoundException,Cohesion,,,N/A
ClientKeyStore,Coupled,5,5,0
ClientKeyStore,Derived,0,0,0
ClientKeyStore,Public Methods,0,0,0
ClientKeyStore,Cyclomatic,5,5,0
ClientKeyStore,Cohesion,50,50,0
Closeable,Coupled,,,N/A
Closeable,Derived,,,N/A
Closeable,Public Methods,,,N/A
Closeable,Cyclomatic,,,N/A
Closeable,Cohesion,,,N/A
CodeSource,Coupled,,,N/A
CodeSource,Derived,,,N/A
CodeSource,Public Methods,,,N/A
CodeSource,Cyclomatic,,,N/A
CodeSource,Cohesion,,,N/A
Collection,Coupled,,,N/A
Collection,Derived,,,N/A
Collection,Public Methods,,,N/A
Collection,Cyclomatic,,,N/A
Collection,Cohesion,,,N/A
Comparable,Coupled,,,N/A
Comparable,Derived,,,N/A
Comparable,Public Methods,,,N/A
Comparable,Cyclomatic,,,N/A
Comparable,Cohesion,,,N/A
Comparator,Coupled,,,N/A
Comparator,Derived,,,N/A
Comparator,Public Methods,,,N/A
Comparator,Cyclomatic,,,N/A
Comparator,Cohesion,,,N/A
CompositeFTPParseTestFramework,Coupled,5,5,0
CompositeFTPParseTestFramework,Derived,2,2,0
CompositeFTPParseTestFramework,Public Methods,0,0,0
CompositeFTPParseTestFramework,Cyclomatic,13,13,0
CompositeFTPParseTestFramework,Cohesion,0,0,0
CompositeFileEntryParser,Coupled,2,2,0
CompositeFileEntryParser,Derived,0,0,0
CompositeFileEntryParser,Public Methods,0,0,0
CompositeFileEntryParser,Cyclomatic,6,6,0
CompositeFileEntryParser,Cohesion,0,0,0
ConfigurableFTPFileEntryParserImpl,Coupled,6,6,0
ConfigurableFTPFileEntryParserImpl,Derived,16,16,0
ConfigurableFTPFileEntryParserImpl,Public Methods,0,0,0
ConfigurableFTPFileEntryParserImpl,Cyclomatic,7,7,0
ConfigurableFTPFileEntryParserImpl,Cohesion,0,0,0
CopyOnWriteArrayList,Coupled,,,N/A
CopyOnWriteArrayList,Derived,,,N/A
CopyOnWriteArrayList,Public Methods,,,N/A
CopyOnWriteArrayList,Cyclomatic,,,N/A
CopyOnWriteArrayList,Cohesion,,,N/A
CopyStreamAdapter,Coupled,3,3,0
CopyStreamAdapter,Derived,0,0,0
CopyStreamAdapter,Public Methods,0,0,0
CopyStreamAdapter,Cyclomatic,7,7,0
CopyStreamAdapter,Cohesion,0,0,0
CopyStreamEvent,Coupled,2,2,0
CopyStreamEvent,Derived,0,0,0
CopyStreamEvent,Public Methods,0,0,0
CopyStreamEvent,Cyclomatic,5,5,0
CopyStreamEvent,Cohesion,40,40,0
CopyStreamException,Coupled,1,1,0
CopyStreamException,Derived,0,0,0
CopyStreamException,Public Methods,0,0,0
CopyStreamException,Cyclomatic,3,3,0
CopyStreamException,Cohesion,33,33,0
DataInputStream,Coupled,,,N/A
DataInputStream,Derived,,,N/A
DataInputStream,Public Methods,,,N/A
DataInputStream,Cyclomatic,,,N/A
DataInputStream,Cohesion,,,N/A
DataOutputStream,Coupled,,,N/A
DataOutputStream,Derived,,,N/A
DataOutputStream,Public Methods,,,N/A
DataOutputStream,Cyclomatic,,,N/A
DataOutputStream,Cohesion,,,N/A
DatagramPacket,Coupled,,,N/A
DatagramPacket,Derived,,,N/A
DatagramPacket,Public Methods,,,N/A
DatagramPacket,Cyclomatic,,,N/A
DatagramPacket,Cohesion,,,N/A
DatagramSocket,Coupled,,,N/A
DatagramSocket,Derived,,,N/A
DatagramSocket,Public Methods,,,N/A
DatagramSocket,Cyclomatic,,,N/A
DatagramSocket,Cohesion,,,N/A
DatagramSocketClient,Coupled,5,7,2
DatagramSocketClient,Derived,6,6,0
DatagramSocketClient,Public Methods,0,0,0
DatagramSocketClient,Cyclomatic,15,18,3
DatagramSocketClient,Cohesion,50,64,14
Date,Coupled,,,N/A
Date,Derived,,,N/A
Date,Public Methods,,,N/A
Date,Cyclomatic,,,N/A
Date,Cohesion,,,N/A
DateFormat,Coupled,,,N/A
DateFormat,Derived,,,N/A
DateFormat,Public Methods,,,N/A
DateFormat,Cyclomatic,,,N/A
DateFormat,Cohesion,,,N/A
DateFormatSymbols,Coupled,,,N/A
DateFormatSymbols,Derived,,,N/A
DateFormatSymbols,Public Methods,,,N/A
DateFormatSymbols,Cyclomatic,,,N/A
DateFormatSymbols,Cohesion,,,N/A
DaytimeTCPClient,Coupled,5,5,0
DaytimeTCPClient,Derived,0,0,0
DaytimeTCPClient,Public Methods,0,0,0
DaytimeTCPClient,Cyclomatic,4,4,0
DaytimeTCPClient,Cohesion,50,50,0
DaytimeUDPClient,Coupled,4,4,0
DaytimeUDPClient,Derived,0,0,0
DaytimeUDPClient,Public Methods,0,0,0
DaytimeUDPClient,Cyclomatic,2,2,0
DaytimeUDPClient,Cohesion,50,50,0
DecimalFormat,Coupled,,,N/A
DecimalFormat,Derived,,,N/A
DecimalFormat,Public Methods,,,N/A
DecimalFormat,Cyclomatic,,,N/A
DecimalFormat,Cohesion,,,N/A
DefaultDatagramSocketFactory,Coupled,3,3,0
DefaultDatagramSocketFactory,Derived,0,0,0
DefaultDatagramSocketFactory,Public Methods,0,0,0
DefaultDatagramSocketFactory,Cyclomatic,3,3,0
DefaultDatagramSocketFactory,Cohesion,0,0,0
DefaultFTPFileEntryParserFactory,Coupled,20,20,0
DefaultFTPFileEntryParserFactory,Derived,0,0,0
DefaultFTPFileEntryParserFactory,Public Methods,0,0,0
DefaultFTPFileEntryParserFactory,Cyclomatic,31,31,0
DefaultFTPFileEntryParserFactory,Cohesion,0,0,0
DefaultFTPFileEntryParserFactoryTest,Coupled,22,22,0
DefaultFTPFileEntryParserFactoryTest,Derived,0,0,0
DefaultFTPFileEntryParserFactoryTest,Public Methods,0,0,0
DefaultFTPFileEntryParserFactoryTest,Cyclomatic,10,10,0
DefaultFTPFileEntryParserFactoryTest,Cohesion,0,0,0
DefaultSocketFactory,Coupled,9,9,0
DefaultSocketFactory,Derived,0,0,0
DefaultSocketFactory,Public Methods,0,0,0
DefaultSocketFactory,Cyclomatic,15,15,0
DefaultSocketFactory,Cohesion,40,40,0
DiscardTCPClient,Coupled,1,1,0
DiscardTCPClient,Derived,1,1,0
DiscardTCPClient,Public Methods,0,0,0
DiscardTCPClient,Cyclomatic,2,2,0
DiscardTCPClient,Cohesion,0,0,0
DiscardUDPClient,Coupled,3,3,0
DiscardUDPClient,Derived,1,1,0
DiscardUDPClient,Public Methods,0,0,0
DiscardUDPClient,Cyclomatic,4,4,0
DiscardUDPClient,Cohesion,50,50,0
DotTerminatedMessageReader,Coupled,5,5,0
DotTerminatedMessageReader,Derived,0,0,0
DotTerminatedMessageReader,Public Methods,0,0,0
DotTerminatedMessageReader,Cyclomatic,26,26,0
DotTerminatedMessageReader,Cohesion,56,56,0
DotTerminatedMessageReaderTest,Coupled,6,6,0
DotTerminatedMessageReaderTest,Derived,0,0,0
DotTerminatedMessageReaderTest,Public Methods,0,0,0
DotTerminatedMessageReaderTest,Cyclomatic,24,24,0
DotTerminatedMessageReaderTest,Cohesion,6,6,0
DotTerminatedMessageWriter,Coupled,3,3,0
DotTerminatedMessageWriter,Derived,0,0,0
DotTerminatedMessageWriter,Public Methods,0,0,0
DotTerminatedMessageWriter,Cyclomatic,17,17,0
DotTerminatedMessageWriter,Cohesion,56,56,0
DownloadListings,Coupled,16,16,0
DownloadListings,Derived,0,0,0
DownloadListings,Public Methods,1,1,0
DownloadListings,Cyclomatic,11,11,0
DownloadListings,Cohesion,38,38,0
EOFException,Coupled,,,N/A
EOFException,Derived,,,N/A
EOFException,Public Methods,,,N/A
EOFException,Cyclomatic,,,N/A
EOFException,Cohesion,,,N/A
EchoOptionHandler,Coupled,2,2,0
EchoOptionHandler,Derived,0,0,0
EchoOptionHandler,Public Methods,0,0,0
EchoOptionHandler,Cyclomatic,5,5,0
EchoOptionHandler,Cohesion,0,0,0
EchoOptionHandlerTest,Coupled,5,5,0
EchoOptionHandlerTest,Derived,0,0,0
EchoOptionHandlerTest,Public Methods,0,0,0
EchoOptionHandlerTest,Cyclomatic,4,4,0
EchoOptionHandlerTest,Cohesion,0,0,0
EchoTCPClient,Coupled,1,1,0
EchoTCPClient,Derived,0,0,0
EchoTCPClient,Public Methods,0,0,0
EchoTCPClient,Cyclomatic,2,2,0
EchoTCPClient,Cohesion,0,0,0
EchoUDPClient,Coupled,4,4,0
EchoUDPClient,Derived,0,0,0
EchoUDPClient,Public Methods,0,0,0
EchoUDPClient,Cyclomatic,4,4,0
EchoUDPClient,Cohesion,75,75,0
EnterpriseUnixFTPEntryParser,Coupled,4,4,0
EnterpriseUnixFTPEntryParser,Derived,0,0,0
EnterpriseUnixFTPEntryParser,Public Methods,0,0,0
EnterpriseUnixFTPEntryParser,Cyclomatic,7,7,0
EnterpriseUnixFTPEntryParser,Cohesion,0,0,0
EnterpriseUnixFTPEntryParserTest,Coupled,7,7,0
EnterpriseUnixFTPEntryParserTest,Derived,0,0,0
EnterpriseUnixFTPEntryParserTest,Public Methods,0,0,0
EnterpriseUnixFTPEntryParserTest,Cyclomatic,8,8,0
EnterpriseUnixFTPEntryParserTest,Cohesion,0,0,0
Enumeration,Coupled,,,N/A
Enumeration,Derived,,,N/A
Enumeration,Public Methods,,,N/A
Enumeration,Cyclomatic,,,N/A
Enumeration,Cohesion,,,N/A
EventListener,Coupled,,,N/A
EventListener,Derived,,,N/A
EventListener,Public Methods,,,N/A
EventListener,Cyclomatic,,,N/A
EventListener,Cohesion,,,N/A
EventObject,Coupled,,,N/A
EventObject,Derived,,,N/A
EventObject,Public Methods,,,N/A
EventObject,Cyclomatic,,,N/A
EventObject,Cohesion,,,N/A
Exception,Coupled,,,N/A
Exception,Derived,,,N/A
Exception,Public Methods,,,N/A
Exception,Cyclomatic,,,N/A
Exception,Cohesion,,,N/A
ExceptionInInitializerError,Coupled,,,N/A
ExceptionInInitializerError,Derived,,,N/A
ExceptionInInitializerError,Public Methods,,,N/A
ExceptionInInitializerError,Cyclomatic,,,N/A
ExceptionInInitializerError,Cohesion,,,N/A
ExtendedNNTPOps,Coupled,10,10,0
ExtendedNNTPOps,Derived,0,0,0
ExtendedNNTPOps,Public Methods,1,1,0
ExtendedNNTPOps,Cyclomatic,12,12,0
ExtendedNNTPOps,Cohesion,33,33,0
ExtendedPOP3Client,Coupled,12,12,0
ExtendedPOP3Client,Derived,0,0,0
ExtendedPOP3Client,Public Methods,0,0,0
ExtendedPOP3Client,Cyclomatic,8,8,0
ExtendedPOP3Client,Cohesion,0,0,0
FETCH_ITEM_NAMES,Coupled,1,1,0
FETCH_ITEM_NAMES,Derived,0,0,0
FETCH_ITEM_NAMES,Public Methods,0,0,0
FETCH_ITEM_NAMES,Cyclomatic,0,0,0
FETCH_ITEM_NAMES,Cohesion,,,N/A
FTP,Coupled,21,23,2
FTP,Derived,2,2,0
FTP,Public Methods,0,0,0
FTP,Cyclomatic,95,97,2
FTP,Cohesion,95,96,1
FTPClient,Coupled,53,54,1
FTPClient,Derived,5,5,0
FTPClient,Public Methods,2,2,0
FTPClient,Cyclomatic,232,249,17
FTPClient,Cohesion,97,97,0
FTPClientConfig,Coupled,8,8,0
FTPClientConfig,Derived,0,0,0
FTPClientConfig,Public Methods,4,4,0
FTPClientConfig,Cyclomatic,25,25,0
FTPClientConfig,Cohesion,86,86,0
FTPClientConfigFunctionalTest,Coupled,12,12,0
FTPClientConfigFunctionalTest,Derived,0,0,0
FTPClientConfigFunctionalTest,Public Methods,0,0,0
FTPClientConfigFunctionalTest,Cyclomatic,14,14,0
FTPClientConfigFunctionalTest,Cohesion,67,67,0
FTPClientConfigTest,Coupled,9,9,0
FTPClientConfigTest,Derived,0,0,0
FTPClientConfigTest,Public Methods,0,0,0
FTPClientConfigTest,Cyclomatic,21,21,0
FTPClientConfigTest,Cohesion,82,82,0
FTPClientExample,Coupled,21,21,0
FTPClientExample,Derived,0,0,0
FTPClientExample,Public Methods,2,2,0
FTPClientExample,Cyclomatic,76,76,0
FTPClientExample,Cohesion,0,0,0
FTPClientTest,Coupled,N/A,2,N/A
FTPClientTest,Derived,N/A,0,N/A
FTPClientTest,Public Methods,N/A,0,N/A
FTPClientTest,Cyclomatic,N/A,3,N/A
FTPClientTest,Cohesion,N/A,0,N/A
FTPCmd,Coupled,N/A,2,N/A
FTPCmd,Derived,N/A,0,N/A
FTPCmd,Public Methods,N/A,0,N/A
FTPCmd,Cyclomatic,N/A,1,N/A
FTPCmd,Cohesion,N/A,,N/A
FTPCommand,Coupled,2,3,1
FTPCommand,Derived,0,0,0
FTPCommand,Public Methods,2,2,0
FTPCommand,Cyclomatic,4,4,0
FTPCommand,Cohesion,0,0,0
FTPCommandTest,Coupled,2,3,1
FTPCommandTest,Derived,0,0,0
FTPCommandTest,Public Methods,0,0,0
FTPCommandTest,Cyclomatic,2,2,0
FTPCommandTest,Cohesion,0,0,0
FTPConfigEntryParserTest,Coupled,6,6,0
FTPConfigEntryParserTest,Derived,0,0,0
FTPConfigEntryParserTest,Public Methods,0,0,0
FTPConfigEntryParserTest,Cyclomatic,2,2,0
FTPConfigEntryParserTest,Cohesion,0,0,0
FTPConnectionClosedException,Coupled,1,1,0
FTPConnectionClosedException,Derived,0,0,0
FTPConnectionClosedException,Public Methods,0,0,0
FTPConnectionClosedException,Cyclomatic,2,2,0
FTPConnectionClosedException,Cohesion,0,0,0
FTPFile,Coupled,5,5,0
FTPFile,Derived,0,0,0
FTPFile,Public Methods,0,0,0
FTPFile,Cyclomatic,36,36,0
FTPFile,Cohesion,88,88,0
FTPFileEntryParserImpl,Coupled,4,4,0
FTPFileEntryParserImpl,Derived,6,6,0
FTPFileEntryParserImpl,Public Methods,0,0,0
FTPFileEntryParserImpl,Cyclomatic,3,3,0
FTPFileEntryParserImpl,Cohesion,0,0,0
FTPFileFilters,Coupled,1,1,0
FTPFileFilters,Derived,0,0,0
FTPFileFilters,Public Methods,0,0,0
FTPFileFilters,Cyclomatic,0,0,0
FTPFileFilters,Cohesion,0,0,0
FTPHTTPClient,Coupled,18,19,1
FTPHTTPClient,Derived,0,0,0
FTPHTTPClient,Public Methods,0,0,0
FTPHTTPClient,Cyclomatic,19,19,0
FTPHTTPClient,Cohesion,63,61,-2
FTPListParseEngine,Coupled,15,16,1
FTPListParseEngine,Derived,0,0,0
FTPListParseEngine,Public Methods,0,0,0
FTPListParseEngine,Cyclomatic,17,16,-1
FTPListParseEngine,Cohesion,55,55,0
FTPParseTestFramework,Coupled,7,7,0
FTPParseTestFramework,Derived,8,8,0
FTPParseTestFramework,Public Methods,0,0,0
FTPParseTestFramework,Cyclomatic,11,11,0
FTPParseTestFramework,Cohesion,71,71,0
FTPReply,Coupled,0,0,0
FTPReply,Derived,0,0,0
FTPReply,Public Methods,6,6,0
FTPReply,Cyclomatic,7,7,0
FTPReply,Cohesion,0,0,0
FTPSClient,Coupled,23,23,0
FTPSClient,Derived,0,0,0
FTPSClient,Public Methods,0,0,0
FTPSClient,Cyclomatic,82,82,0
FTPSClient,Cohesion,95,95,0
FTPSCommand,Coupled,2,2,0
FTPSCommand,Derived,0,0,0
FTPSCommand,Public Methods,1,1,0
FTPSCommand,Cyclomatic,1,1,0
FTPSCommand,Cohesion,0,0,0
FTPSServerSocketFactory,Coupled,6,6,0
FTPSServerSocketFactory,Derived,0,0,0
FTPSServerSocketFactory,Public Methods,0,0,0
FTPSServerSocketFactory,Cyclomatic,6,6,0
FTPSServerSocketFactory,Cohesion,17,17,0
FTPSSocketFactory,Coupled,11,11,0
FTPSSocketFactory,Derived,0,0,0
FTPSSocketFactory,Public Methods,0,0,0
FTPSSocketFactory,Cyclomatic,10,10,0
FTPSSocketFactory,Cohesion,10,10,0
FTPSTrustManager,Coupled,4,4,0
FTPSTrustManager,Derived,0,0,0
FTPSTrustManager,Public Methods,0,0,0
FTPSTrustManager,Cyclomatic,4,4,0
FTPSTrustManager,Cohesion,0,0,0
FTPTimestampParserImpl,Coupled,10,10,0
FTPTimestampParserImpl,Derived,0,0,0
FTPTimestampParserImpl,Public Methods,0,0,0
FTPTimestampParserImpl,Cyclomatic,28,28,0
FTPTimestampParserImpl,Cohesion,60,60,0
FTPTimestampParserImplTest,Coupled,14,14,0
FTPTimestampParserImplTest,Derived,0,0,0
FTPTimestampParserImplTest,Public Methods,0,0,0
FTPTimestampParserImplTest,Cyclomatic,41,41,0
FTPTimestampParserImplTest,Cohesion,0,0,0
File,Coupled,,,N/A
File,Derived,,,N/A
File,Public Methods,,,N/A
File,Cyclomatic,,,N/A
File,Cohesion,,,N/A
FileInputStream,Coupled,,,N/A
FileInputStream,Derived,,,N/A
FileInputStream,Public Methods,,,N/A
FileInputStream,Cyclomatic,,,N/A
FileInputStream,Cohesion,,,N/A
FileNotFoundException,Coupled,,,N/A
FileNotFoundException,Derived,,,N/A
FileNotFoundException,Public Methods,,,N/A
FileNotFoundException,Cyclomatic,,,N/A
FileNotFoundException,Cohesion,,,N/A
FileOutputStream,Coupled,,,N/A
FileOutputStream,Derived,,,N/A
FileOutputStream,Public Methods,,,N/A
FileOutputStream,Cyclomatic,,,N/A
FileOutputStream,Cohesion,,,N/A
FileReader,Coupled,,,N/A
FileReader,Derived,,,N/A
FileReader,Public Methods,,,N/A
FileReader,Cyclomatic,,,N/A
FileReader,Cohesion,,,N/A
FileWriter,Coupled,,,N/A
FileWriter,Derived,,,N/A
FileWriter,Public Methods,,,N/A
FileWriter,Cyclomatic,,,N/A
FileWriter,Cohesion,,,N/A
FilenameFilter,Coupled,,,N/A
FilenameFilter,Derived,,,N/A
FilenameFilter,Public Methods,,,N/A
FilenameFilter,Cyclomatic,,,N/A
FilenameFilter,Cohesion,,,N/A
FilterInputStream,Coupled,,,N/A
FilterInputStream,Derived,,,N/A
FilterInputStream,Public Methods,,,N/A
FilterInputStream,Cyclomatic,,,N/A
FilterInputStream,Cohesion,,,N/A
FilterOutputStream,Coupled,,,N/A
FilterOutputStream,Derived,,,N/A
FilterOutputStream,Public Methods,,,N/A
FilterOutputStream,Cyclomatic,,,N/A
FilterOutputStream,Cohesion,,,N/A
FingerClient,Coupled,8,9,1
FingerClient,Derived,1,1,0
FingerClient,Public Methods,0,0,0
FingerClient,Cyclomatic,10,9,-1
FingerClient,Cohesion,83,83,0
Format,Coupled,,,N/A
Format,Derived,,,N/A
Format,Public Methods,,,N/A
Format,Cyclomatic,,,N/A
Format,Cohesion,,,N/A
Formatter,Coupled,,,N/A
Formatter,Derived,,,N/A
Formatter,Public Methods,,,N/A
Formatter,Cyclomatic,,,N/A
Formatter,Cohesion,,,N/A
FromNetASCIIInputStream,Coupled,4,6,2
FromNetASCIIInputStream,Derived,0,0,0
FromNetASCIIInputStream,Public Methods,1,1,0
FromNetASCIIInputStream,Cyclomatic,18,18,0
FromNetASCIIInputStream,Cohesion,71,71,0
FromNetASCIIOutputStream,Coupled,4,4,0
FromNetASCIIOutputStream,Derived,0,0,0
FromNetASCIIOutputStream,Public Methods,0,0,0
FromNetASCIIOutputStream,Cyclomatic,15,15,0
FromNetASCIIOutputStream,Cohesion,50,50,0
