Class,Metric,3.2,3.3,Delta
GeneralSecurityException,Coupled,,,N/A
GeneralSecurityException,Derived,,,N/A
GeneralSecurityException,Public Methods,,,N/A
GeneralSecurityException,Cyclomatic,,,N/A
GeneralSecurityException,Cohesion,,,N/A
GregorianCalendar,Coupled,,,N/A
GregorianCalendar,Derived,,,N/A
GregorianCalendar,Public Methods,,,N/A
GregorianCalendar,Cyclomatic,,,N/A
GregorianCalendar,Cohesion,,,N/A
HashMap,Coupled,,,N/A
HashMap,Derived,,,N/A
HashMap,Public Methods,,,N/A
HashMap,Cyclomatic,,,N/A
HashMap,Cohesion,,,N/A
HashSet,Coupled,,,N/A
HashSet,Derived,,,N/A
HashSet,Public Methods,,,N/A
HashSet,Cyclomatic,,,N/A
HashSet,Cohesion,,,N/A
IMAP,Coupled,15,15,0
IMAP,Derived,1,1,0
IMAP,Public Methods,0,0,0
IMAP,Cyclomatic,31,31,0
IMAP,Cohesion,82,82,0
IMAPClient,Coupled,6,6,0
IMAPClient,Derived,1,1,0
IMAPClient,Public Methods,0,0,0
IMAPClient,Cyclomatic,34,34,0
IMAPClient,Cohesion,0,0,0
IMAPCommand,Coupled,2,2,0
IMAPCommand,Derived,0,0,0
IMAPCommand,Public Methods,1,1,0
IMAPCommand,Cyclomatic,9,9,0
IMAPCommand,Cohesion,,,N/A
IMAPMail,Coupled,8,8,0
IMAPMail,Derived,0,0,0
IMAPMail,Public Methods,1,1,0
IMAPMail,Cyclomatic,7,7,0
IMAPMail,Cohesion,0,0,0
IMAPReply,Coupled,5,5,0
IMAPReply,Derived,0,0,0
IMAPReply,Public Methods,8,8,0
IMAPReply,Cyclomatic,15,15,0
IMAPReply,Cohesion,0,0,0
IMAPSClient,Coupled,16,16,0
IMAPSClient,Derived,1,1,0
IMAPSClient,Public Methods,0,0,0
IMAPSClient,Cyclomatic,26,26,0
IMAPSClient,Cohesion,89,89,0
IMAPState,Coupled,1,1,0
IMAPState,Derived,0,0,0
IMAPState,Public Methods,0,0,0
IMAPState,Cyclomatic,0,0,0
IMAPState,Cohesion,,,N/A
IMAPTest,Coupled,4,4,0
IMAPTest,Derived,0,0,0
IMAPTest,Public Methods,0,0,0
IMAPTest,Cyclomatic,4,4,0
IMAPTest,Cohesion,0,0,0
IOException,Coupled,,,N/A
IOException,Derived,,,N/A
IOException,Public Methods,,,N/A
IOException,Cyclomatic,,,N/A
IOException,Cohesion,,,N/A
IOUtil,Coupled,4,4,0
IOUtil,Derived,0,0,0
IOUtil,Public Methods,1,1,0
IOUtil,Cyclomatic,2,2,0
IOUtil,Cohesion,0,0,0
IllegalArgumentException,Coupled,,,N/A
IllegalArgumentException,Derived,,,N/A
IllegalArgumentException,Public Methods,,,N/A
IllegalArgumentException,Cyclomatic,,,N/A
IllegalArgumentException,Cohesion,,,N/A
IllegalStateException,Coupled,,,N/A
IllegalStateException,Derived,,,N/A
IllegalStateException,Public Methods,,,N/A
IllegalStateException,Cyclomatic,,,N/A
IllegalStateException,Cohesion,,,N/A
Inet4Address,Coupled,,,N/A
Inet4Address,Derived,,,N/A
Inet4Address,Public Methods,,,N/A
Inet4Address,Cyclomatic,,,N/A
Inet4Address,Cohesion,,,N/A
Inet6Address,Coupled,,,N/A
Inet6Address,Derived,,,N/A
Inet6Address,Public Methods,,,N/A
Inet6Address,Cyclomatic,,,N/A
Inet6Address,Cohesion,,,N/A
InetAddress,Coupled,,,N/A
InetAddress,Derived,,,N/A
InetAddress,Public Methods,,,N/A
InetAddress,Cyclomatic,,,N/A
InetAddress,Cohesion,,,N/A
InetSocketAddress,Coupled,,,N/A
InetSocketAddress,Derived,,,N/A
InetSocketAddress,Public Methods,,,N/A
InetSocketAddress,Cyclomatic,,,N/A
InetSocketAddress,Cohesion,,,N/A
InputStream,Coupled,,,N/A
InputStream,Derived,,,N/A
InputStream,Public Methods,,,N/A
InputStream,Cyclomatic,,,N/A
InputStream,Cohesion,,,N/A
InputStreamReader,Coupled,,,N/A
InputStreamReader,Derived,,,N/A
InputStreamReader,Public Methods,,,N/A
InputStreamReader,Cyclomatic,,,N/A
InputStreamReader,Cohesion,,,N/A
InstantiationException,Coupled,,,N/A
InstantiationException,Derived,,,N/A
InstantiationException,Public Methods,,,N/A
InstantiationException,Cyclomatic,,,N/A
InstantiationException,Cohesion,,,N/A
Integer,Coupled,,,N/A
Integer,Derived,,,N/A
Integer,Public Methods,,,N/A
Integer,Cyclomatic,,,N/A
Integer,Cohesion,,,N/A
InterruptedException,Coupled,,,N/A
InterruptedException,Derived,,,N/A
InterruptedException,Public Methods,,,N/A
InterruptedException,Cyclomatic,,,N/A
InterruptedException,Cohesion,,,N/A
InterruptedIOException,Coupled,,,N/A
InterruptedIOException,Derived,,,N/A
InterruptedIOException,Public Methods,,,N/A
InterruptedIOException,Cyclomatic,,,N/A
InterruptedIOException,Cohesion,,,N/A
InvalidKeyException,Coupled,,,N/A
InvalidKeyException,Derived,,,N/A
InvalidKeyException,Public Methods,,,N/A
InvalidKeyException,Cyclomatic,,,N/A
InvalidKeyException,Cohesion,,,N/A
InvalidKeySpecException,Coupled,,,N/A
InvalidKeySpecException,Derived,,,N/A
InvalidKeySpecException,Public Methods,,,N/A
InvalidKeySpecException,Cyclomatic,,,N/A
InvalidKeySpecException,Cohesion,,,N/A
InvalidTelnetOptionException,Coupled,2,2,0
InvalidTelnetOptionException,Derived,0,0,0
InvalidTelnetOptionException,Public Methods,0,0,0
InvalidTelnetOptionException,Cyclomatic,2,2,0
InvalidTelnetOptionException,Cohesion,0,0,0
InvalidTelnetOptionExceptionTest,Coupled,3,3,0
InvalidTelnetOptionExceptionTest,Derived,0,0,0
InvalidTelnetOptionExceptionTest,Public Methods,0,0,0
InvalidTelnetOptionExceptionTest,Cyclomatic,2,2,0
InvalidTelnetOptionExceptionTest,Cohesion,0,0,0
Iterable,Coupled,,,N/A
Iterable,Derived,,,N/A
Iterable,Public Methods,,,N/A
Iterable,Cyclomatic,,,N/A
Iterable,Cohesion,,,N/A
Iterator,Coupled,,,N/A
Iterator,Derived,,,N/A
Iterator,Public Methods,,,N/A
Iterator,Cyclomatic,,,N/A
Iterator,Cohesion,,,N/A
JarEntry,Coupled,,,N/A
JarEntry,Derived,,,N/A
JarEntry,Public Methods,,,N/A
JarEntry,Cyclomatic,,,N/A
JarEntry,Cohesion,,,N/A
JarFile,Coupled,,,N/A
JarFile,Derived,,,N/A
JarFile,Public Methods,,,N/A
JarFile,Cyclomatic,,,N/A
JarFile,Cohesion,,,N/A
KeyManager,Coupled,,,N/A
KeyManager,Derived,,,N/A
KeyManager,Public Methods,,,N/A
KeyManager,Cyclomatic,,,N/A
KeyManager,Cohesion,,,N/A
KeyManagerUtils,Coupled,12,12,0
KeyManagerUtils,Derived,0,0,0
KeyManagerUtils,Public Methods,6,6,0
KeyManagerUtils,Cyclomatic,10,10,0
KeyManagerUtils,Cohesion,0,0,0
KeyStore,Coupled,,,N/A
KeyStore,Derived,,,N/A
KeyStore,Public Methods,,,N/A
KeyStore,Cyclomatic,,,N/A
KeyStore,Cohesion,,,N/A
KeyStoreException,Coupled,,,N/A
KeyStoreException,Derived,,,N/A
KeyStoreException,Public Methods,,,N/A
KeyStoreException,Cyclomatic,,,N/A
KeyStoreException,Cohesion,,,N/A
LinkedList,Coupled,,,N/A
LinkedList,Derived,,,N/A
LinkedList,Public Methods,,,N/A
LinkedList,Cyclomatic,,,N/A
LinkedList,Cohesion,,,N/A
List,Coupled,,,N/A
List,Derived,,,N/A
List,Public Methods,,,N/A
List,Cyclomatic,,,N/A
List,Cohesion,,,N/A
ListIterator,Coupled,,,N/A
ListIterator,Derived,,,N/A
ListIterator,Public Methods,,,N/A
ListIterator,Cyclomatic,,,N/A
ListIterator,Cohesion,,,N/A
ListNewsgroups,Coupled,6,6,0
ListNewsgroups,Derived,0,0,0
ListNewsgroups,Public Methods,1,1,0
ListNewsgroups,Cyclomatic,9,9,0
ListNewsgroups,Cohesion,0,0,0
ListenerList,Coupled,3,3,0
ListenerList,Derived,0,0,0
ListenerList,Public Methods,0,0,0
ListenerList,Cyclomatic,5,5,0
ListenerList,Cohesion,0,0,0
ListingFunctionalTest,Coupled,16,16,0
ListingFunctionalTest,Derived,0,0,0
ListingFunctionalTest,Public Methods,1,1,0
ListingFunctionalTest,Cyclomatic,25,26,1
ListingFunctionalTest,Cohesion,63,66,3
Locale,Coupled,,,N/A
Locale,Derived,,,N/A
Locale,Public Methods,,,N/A
Locale,Cyclomatic,,,N/A
Locale,Cohesion,,,N/A
Long,Coupled,,,N/A
Long,Derived,,,N/A
Long,Public Methods,,,N/A
Long,Cyclomatic,,,N/A
Long,Cohesion,,,N/A
MLSDComparison,Coupled,19,19,0
MLSDComparison,Derived,0,0,0
MLSDComparison,Public Methods,0,0,0
MLSDComparison,Cyclomatic,19,19,0
MLSDComparison,Cohesion,88,88,0
MLSxEntryParser,Coupled,9,9,0
MLSxEntryParser,Derived,0,0,0
MLSxEntryParser,Public Methods,2,2,0
MLSxEntryParser,Cyclomatic,34,34,0
MLSxEntryParser,Cohesion,80,80,0
MVSFTPEntryParser,Coupled,7,7,0
MVSFTPEntryParser,Derived,0,0,0
MVSFTPEntryParser,Public Methods,0,0,0
MVSFTPEntryParser,Cyclomatic,36,36,0
MVSFTPEntryParser,Cohesion,77,77,0
MVSFTPEntryParserTest,Coupled,9,9,0
MVSFTPEntryParserTest,Derived,0,0,0
MVSFTPEntryParserTest,Public Methods,0,0,0
MVSFTPEntryParserTest,Cyclomatic,15,15,0
MVSFTPEntryParserTest,Cohesion,0,0,0
Mac,Coupled,,,N/A
Mac,Derived,,,N/A
Mac,Public Methods,,,N/A
Mac,Cyclomatic,,,N/A
Mac,Cohesion,,,N/A
MacOsPeterFTPEntryParser,Coupled,6,6,0
MacOsPeterFTPEntryParser,Derived,0,0,0
MacOsPeterFTPEntryParser,Public Methods,0,0,0
MacOsPeterFTPEntryParser,Cyclomatic,21,21,0
MacOsPeterFTPEntryParser,Cohesion,0,0,0
MacOsPeterFTPEntryParserTest,Coupled,7,7,0
MacOsPeterFTPEntryParserTest,Derived,0,0,0
MacOsPeterFTPEntryParserTest,Public Methods,0,0,0
MacOsPeterFTPEntryParserTest,Cyclomatic,9,9,0
MacOsPeterFTPEntryParserTest,Cohesion,0,0,0
Main,Coupled,10,10,0
Main,Derived,0,0,0
Main,Public Methods,1,1,0
Main,Cyclomatic,10,10,0
Main,Cohesion,0,0,0
MalformedServerReplyException,Coupled,1,1,0
MalformedServerReplyException,Derived,0,0,0
MalformedServerReplyException,Public Methods,0,0,0
MalformedServerReplyException,Cyclomatic,2,2,0
MalformedServerReplyException,Cohesion,0,0,0
Map,Coupled,,,N/A
Map,Derived,,,N/A
Map,Public Methods,,,N/A
Map,Cyclomatic,,,N/A
Map,Cohesion,,,N/A
MatchResult,Coupled,,,N/A
MatchResult,Derived,,,N/A
MatchResult,Public Methods,,,N/A
MatchResult,Cyclomatic,,,N/A
MatchResult,Cohesion,,,N/A
Matcher,Coupled,,,N/A
Matcher,Derived,,,N/A
Matcher,Public Methods,,,N/A
Matcher,Cyclomatic,,,N/A
Matcher,Cohesion,,,N/A
MessageDigest,Coupled,,,N/A
MessageDigest,Derived,,,N/A
MessageDigest,Public Methods,,,N/A
MessageDigest,Cyclomatic,,,N/A
MessageDigest,Cohesion,,,N/A
MessageThreading,Coupled,11,11,0
MessageThreading,Derived,0,0,0
MessageThreading,Public Methods,1,1,0
MessageThreading,Cyclomatic,7,7,0
MessageThreading,Cohesion,0,0,0
Method,Coupled,,,N/A
Method,Derived,,,N/A
Method,Public Methods,,,N/A
Method,Cyclomatic,,,N/A
Method,Cohesion,,,N/A
NNTP,Coupled,16,16,0
NNTP,Derived,1,1,0
NNTP,Public Methods,0,0,0
NNTP,Cyclomatic,53,53,0
NNTP,Cohesion,91,91,0
NNTPClient,Coupled,26,26,0
NNTPClient,Derived,0,0,0
NNTPClient,Public Methods,3,3,0
NNTPClient,Cyclomatic,137,137,0
NNTPClient,Cohesion,0,0,0
NNTPCommand,Coupled,1,1,0
NNTPCommand,Derived,0,0,0
NNTPCommand,Public Methods,1,1,0
NNTPCommand,Cyclomatic,2,2,0
NNTPCommand,Cohesion,0,0,0
NNTPConnectionClosedException,Coupled,1,1,0
NNTPConnectionClosedException,Derived,0,0,0
NNTPConnectionClosedException,Public Methods,0,0,0
NNTPConnectionClosedException,Cyclomatic,2,2,0
NNTPConnectionClosedException,Cohesion,0,0,0
NNTPReply,Coupled,0,0,0
NNTPReply,Derived,0,0,0
NNTPReply,Public Methods,5,5,0
NNTPReply,Cyclomatic,6,6,0
NNTPReply,Cohesion,0,0,0
NNTPUtils,Coupled,6,6,0
NNTPUtils,Derived,0,0,0
NNTPUtils,Public Methods,1,1,0
NNTPUtils,Cyclomatic,2,2,0
NNTPUtils,Cohesion,0,0,0
NTFTPEntryParser,Coupled,7,7,0
NTFTPEntryParser,Derived,0,0,0
NTFTPEntryParser,Public Methods,0,0,0
NTFTPEntryParser,Cyclomatic,10,10,0
NTFTPEntryParser,Cohesion,50,50,0
NTFTPEntryParserTest,Coupled,9,9,0
NTFTPEntryParserTest,Derived,0,0,0
NTFTPEntryParserTest,Public Methods,0,0,0
NTFTPEntryParserTest,Cyclomatic,13,13,0
NTFTPEntryParserTest,Cohesion,0,0,0
NTPClient,Coupled,14,14,0
NTPClient,Derived,0,0,0
NTPClient,Public Methods,2,2,0
NTPClient,Cyclomatic,19,19,0
NTPClient,Cohesion,0,0,0
NTPUDPClient,Coupled,7,7,0
NTPUDPClient,Derived,0,0,0
NTPUDPClient,Public Methods,0,0,0
NTPUDPClient,Cyclomatic,5,5,0
NTPUDPClient,Cohesion,25,25,0
NetwareFTPEntryParser,Coupled,5,5,0
NetwareFTPEntryParser,Derived,0,0,0
NetwareFTPEntryParser,Public Methods,0,0,0
NetwareFTPEntryParser,Cyclomatic,9,9,0
NetwareFTPEntryParser,Cohesion,0,0,0
NetwareFTPEntryParserTest,Coupled,7,7,0
NetwareFTPEntryParserTest,Derived,0,0,0
NetwareFTPEntryParserTest,Public Methods,0,0,0
NetwareFTPEntryParserTest,Cyclomatic,6,6,0
NetwareFTPEntryParserTest,Cohesion,0,0,0
NewGroupsOrNewsQuery,Coupled,4,4,0
NewGroupsOrNewsQuery,Derived,0,0,0
NewGroupsOrNewsQuery,Public Methods,0,0,0
NewGroupsOrNewsQuery,Cyclomatic,24,24,0
NewGroupsOrNewsQuery,Cohesion,73,73,0
NewsgroupInfo,Coupled,2,2,0
NewsgroupInfo,Derived,0,0,0
NewsgroupInfo,Public Methods,0,0,0
NewsgroupInfo,Cyclomatic,13,13,0
NewsgroupInfo,Cohesion,80,80,0
NewsgroupIterator,Coupled,3,3,0
NewsgroupIterator,Derived,0,0,0
NewsgroupIterator,Public Methods,0,0,0
NewsgroupIterator,Cyclomatic,5,5,0
NewsgroupIterator,Cohesion,20,20,0
NoSuchAlgorithmException,Coupled,,,N/A
NoSuchAlgorithmException,Derived,,,N/A
NoSuchAlgorithmException,Public Methods,,,N/A
NoSuchAlgorithmException,Cyclomatic,,,N/A
NoSuchAlgorithmException,Cohesion,,,N/A
NoSuchElementException,Coupled,,,N/A
NoSuchElementException,Derived,,,N/A
NoSuchElementException,Public Methods,,,N/A
NoSuchElementException,Cyclomatic,,,N/A
NoSuchElementException,Cohesion,,,N/A
NtpUtils,Coupled,3,3,0
NtpUtils,Derived,0,0,0
NtpUtils,Public Methods,4,4,0
NtpUtils,Cyclomatic,18,18,0
NtpUtils,Cohesion,0,0,0
NtpV3Impl,Coupled,6,6,0
NtpV3Impl,Derived,0,0,0
NtpV3Impl,Public Methods,2,2,0
NtpV3Impl,Cyclomatic,54,54,0
NtpV3Impl,Cohesion,76,76,0
NullPointerException,Coupled,,,N/A
NullPointerException,Derived,,,N/A
NullPointerException,Public Methods,,,N/A
NullPointerException,Cyclomatic,,,N/A
NullPointerException,Cohesion,,,N/A
NumberFormat,Coupled,,,N/A
NumberFormat,Derived,,,N/A
NumberFormat,Public Methods,,,N/A
NumberFormat,Cyclomatic,,,N/A
NumberFormat,Cohesion,,,N/A
NumberFormatException,Coupled,,,N/A
NumberFormatException,Derived,,,N/A
NumberFormatException,Public Methods,,,N/A
NumberFormatException,Cyclomatic,,,N/A
NumberFormatException,Cohesion,,,N/A
OS2FTPEntryParser,Coupled,5,5,0
OS2FTPEntryParser,Derived,0,0,0
OS2FTPEntryParser,Public Methods,0,0,0
OS2FTPEntryParser,Cyclomatic,7,7,0
OS2FTPEntryParser,Cohesion,0,0,0
OS2FTPEntryParserTest,Coupled,7,7,0
OS2FTPEntryParserTest,Derived,0,0,0
OS2FTPEntryParserTest,Public Methods,0,0,0
OS2FTPEntryParserTest,Cyclomatic,6,6,0
OS2FTPEntryParserTest,Cohesion,0,0,0
OS400FTPEntryParser,Coupled,6,6,0
OS400FTPEntryParser,Derived,0,0,0
OS400FTPEntryParser,Public Methods,0,0,0
OS400FTPEntryParser,Cyclomatic,11,11,0
OS400FTPEntryParser,Cohesion,0,0,0
OS400FTPEntryParserTest,Coupled,9,9,0
OS400FTPEntryParserTest,Derived,0,0,0
OS400FTPEntryParserTest,Public Methods,0,0,0
OS400FTPEntryParserTest,Cyclomatic,8,8,0
OS400FTPEntryParserTest,Cohesion,0,0,0
OutputStream,Coupled,,,N/A
OutputStream,Derived,,,N/A
OutputStream,Public Methods,,,N/A
OutputStream,Cyclomatic,,,N/A
OutputStream,Cohesion,,,N/A
OutputStreamWriter,Coupled,,,N/A
OutputStreamWriter,Derived,,,N/A
OutputStreamWriter,Public Methods,,,N/A
OutputStreamWriter,Cyclomatic,,,N/A
OutputStreamWriter,Cohesion,,,N/A
POP3,Coupled,18,18,0
POP3,Derived,1,1,0
POP3,Public Methods,0,0,0
POP3,Cyclomatic,24,24,0
POP3,Cohesion,77,77,0
POP3Client,Coupled,13,13,0
POP3Client,Derived,1,1,0
POP3Client,Public Methods,2,2,0
POP3Client,Cyclomatic,50,50,0
POP3Client,Cohesion,0,0,0
POP3ClientCommandsTest,Coupled,10,10,0
POP3ClientCommandsTest,Derived,0,0,0
POP3ClientCommandsTest,Public Methods,0,0,0
POP3ClientCommandsTest,Cyclomatic,38,38,0
POP3ClientCommandsTest,Cohesion,67,67,0
POP3ClientTest,Coupled,8,8,0
POP3ClientTest,Derived,0,0,0
POP3ClientTest,Public Methods,0,0,0
POP3ClientTest,Cyclomatic,11,11,0
POP3ClientTest,Cohesion,69,69,0
POP3Command,Coupled,2,2,0
POP3Command,Derived,0,0,0
POP3Command,Public Methods,1,1,0
POP3Command,Cyclomatic,2,2,0
POP3Command,Cohesion,0,0,0
POP3ConstructorTest,Coupled,9,9,0
POP3ConstructorTest,Derived,0,0,0
POP3ConstructorTest,Public Methods,0,0,0
POP3ConstructorTest,Cyclomatic,7,7,0
POP3ConstructorTest,Cohesion,81,81,0
POP3Mail,Coupled,11,11,0
POP3Mail,Derived,0,0,0
POP3Mail,Public Methods,2,2,0
POP3Mail,Cyclomatic,16,16,0
POP3Mail,Cohesion,0,0,0
POP3MessageInfo,Coupled,1,1,0
POP3MessageInfo,Derived,0,0,0
POP3MessageInfo,Public Methods,0,0,0
POP3MessageInfo,Cyclomatic,4,4,0
POP3MessageInfo,Cohesion,75,75,0
POP3Reply,Coupled,0,0,0
POP3Reply,Derived,0,0,0
POP3Reply,Public Methods,0,0,0
POP3Reply,Cyclomatic,1,1,0
POP3Reply,Cohesion,0,0,0
POP3SClient,Coupled,15,15,0
POP3SClient,Derived,1,1,0
POP3SClient,Public Methods,0,0,0
POP3SClient,Cyclomatic,27,27,0
POP3SClient,Cohesion,89,89,0
ParseException,Coupled,,,N/A
ParseException,Derived,,,N/A
ParseException,Public Methods,,,N/A
ParseException,Cyclomatic,,,N/A
ParseException,Cohesion,,,N/A
ParsePosition,Coupled,,,N/A
ParsePosition,Derived,,,N/A
ParsePosition,Public Methods,,,N/A
ParsePosition,Cyclomatic,,,N/A
ParsePosition,Cohesion,,,N/A
ParserInitializationException,Coupled,3,3,0
ParserInitializationException,Derived,0,0,0
ParserInitializationException,Public Methods,0,0,0
ParserInitializationException,Cyclomatic,3,3,0
ParserInitializationException,Cohesion,0,0,0
Pattern,Coupled,,,N/A
Pattern,Derived,,,N/A
Pattern,Public Methods,,,N/A
Pattern,Cyclomatic,,,N/A
Pattern,Cohesion,,,N/A
PatternSyntaxException,Coupled,,,N/A
PatternSyntaxException,Derived,,,N/A
PatternSyntaxException,Public Methods,,,N/A
PatternSyntaxException,Cyclomatic,,,N/A
PatternSyntaxException,Cohesion,,,N/A
PipedInputStream,Coupled,,,N/A
PipedInputStream,Derived,,,N/A
PipedInputStream,Public Methods,,,N/A
PipedInputStream,Cyclomatic,,,N/A
PipedInputStream,Cohesion,,,N/A
PipedOutputStream,Coupled,,,N/A
PipedOutputStream,Derived,,,N/A
PipedOutputStream,Public Methods,,,N/A
PipedOutputStream,Cyclomatic,,,N/A
PipedOutputStream,Cohesion,,,N/A
PostMessage,Coupled,15,15,0
PostMessage,Derived,0,0,0
PostMessage,Public Methods,1,1,0
PostMessage,Cyclomatic,12,12,0
PostMessage,Cohesion,0,0,0
Principal,Coupled,,,N/A
Principal,Derived,,,N/A
Principal,Public Methods,,,N/A
Principal,Cyclomatic,,,N/A
Principal,Cohesion,,,N/A
PrintCommandListener,Coupled,6,6,0
PrintCommandListener,Derived,0,0,0
PrintCommandListener,Public Methods,0,0,0
PrintCommandListener,Cyclomatic,18,18,0
PrintCommandListener,Cohesion,77,77,0
PrintStream,Coupled,,,N/A
PrintStream,Derived,,,N/A
PrintStream,Public Methods,,,N/A
PrintStream,Cyclomatic,,,N/A
PrintStream,Cohesion,,,N/A
PrintWriter,Coupled,,,N/A
PrintWriter,Derived,,,N/A
PrintWriter,Public Methods,,,N/A
PrintWriter,Cyclomatic,,,N/A
PrintWriter,Cohesion,,,N/A
PrivateKey,Coupled,,,N/A
PrivateKey,Derived,,,N/A
PrivateKey,Public Methods,,,N/A
PrivateKey,Cyclomatic,,,N/A
PrivateKey,Cohesion,,,N/A
Properties,Coupled,,,N/A
Properties,Derived,,,N/A
Properties,Public Methods,,,N/A
Properties,Cyclomatic,,,N/A
Properties,Cohesion,,,N/A
PropertiesSingleton,Coupled,4,4,0
PropertiesSingleton,Derived,0,0,0
PropertiesSingleton,Public Methods,0,0,0
PropertiesSingleton,Cyclomatic,0,0,0
PropertiesSingleton,Cohesion,0,0,0
ProtocolCommandEvent,Coupled,1,1,0
ProtocolCommandEvent,Derived,0,0,0
ProtocolCommandEvent,Public Methods,0,0,0
ProtocolCommandEvent,Cyclomatic,7,7,0
ProtocolCommandEvent,Cohesion,57,57,0
ProtocolCommandSupport,Coupled,5,5,0
ProtocolCommandSupport,Derived,0,0,0
ProtocolCommandSupport,Public Methods,0,0,0
ProtocolCommandSupport,Cyclomatic,8,8,0
ProtocolCommandSupport,Cohesion,25,25,0
Proxy,Coupled,,,N/A
Proxy,Derived,,,N/A
Proxy,Public Methods,,,N/A
Proxy,Cyclomatic,,,N/A
Proxy,Cohesion,,,N/A
PushbackInputStream,Coupled,,,N/A
PushbackInputStream,Derived,,,N/A
PushbackInputStream,Public Methods,,,N/A
PushbackInputStream,Cyclomatic,,,N/A
PushbackInputStream,Cohesion,,,N/A
RCommandClient,Coupled,12,12,0
RCommandClient,Derived,1,1,0
RCommandClient,Public Methods,0,0,0
RCommandClient,Cyclomatic,20,20,0
RCommandClient,Cohesion,0,0,0
RExecClient,Coupled,9,9,0
RExecClient,Derived,1,1,0
RExecClient,Public Methods,0,0,0
RExecClient,Cyclomatic,16,16,0
RExecClient,Cohesion,65,65,0
RLoginClient,Coupled,2,2,0
RLoginClient,Derived,0,0,0
RLoginClient,Public Methods,0,0,0
RLoginClient,Cyclomatic,3,3,0
RLoginClient,Cohesion,0,0,0
Random,Coupled,,,N/A
Random,Derived,,,N/A
Random,Public Methods,,,N/A
Random,Cyclomatic,,,N/A
Random,Cohesion,,,N/A
Reader,Coupled,,,N/A
Reader,Derived,,,N/A
Reader,Public Methods,,,N/A
Reader,Cyclomatic,,,N/A
Reader,Cohesion,,,N/A
RegexFTPFileEntryParserImpl,Coupled,7,7,0
RegexFTPFileEntryParserImpl,Derived,4,4,0
RegexFTPFileEntryParserImpl,Public Methods,0,0,0
RegexFTPFileEntryParserImpl,Cyclomatic,11,11,0
RegexFTPFileEntryParserImpl,Cohesion,61,61,0
RelayPath,Coupled,5,5,0
RelayPath,Derived,0,0,0
RelayPath,Public Methods,0,0,0
RelayPath,Cyclomatic,5,5,0
RelayPath,Cohesion,17,17,0
ReplyIterator,Coupled,8,8,0
ReplyIterator,Derived,0,0,0
ReplyIterator,Public Methods,0,0,0
ReplyIterator,Cyclomatic,13,13,0
ReplyIterator,Cohesion,61,61,0
Runnable,Coupled,,,N/A
Runnable,Derived,,,N/A
Runnable,Public Methods,,,N/A
Runnable,Cyclomatic,,,N/A
Runnable,Cohesion,,,N/A
RuntimeException,Coupled,,,N/A
RuntimeException,Derived,,,N/A
RuntimeException,Public Methods,,,N/A
RuntimeException,Cyclomatic,,,N/A
RuntimeException,Cohesion,,,N/A
SEARCH_CRITERIA,Coupled,1,1,0
SEARCH_CRITERIA,Derived,0,0,0
SEARCH_CRITERIA,Public Methods,0,0,0
SEARCH_CRITERIA,Cyclomatic,0,0,0
SEARCH_CRITERIA,Cohesion,,,N/A
SMTP,Coupled,17,17,0
SMTP,Derived,1,1,0
SMTP,Public Methods,0,0,0
SMTP,Cyclomatic,43,43,0
SMTP,Cohesion,90,90,0
SMTPClient,Coupled,7,7,0
SMTPClient,Derived,1,1,0
SMTPClient,Public Methods,0,0,0
SMTPClient,Cyclomatic,30,30,0
SMTPClient,Cohesion,0,0,0
SMTPCommand,Coupled,2,2,0
SMTPCommand,Derived,0,0,0
SMTPCommand,Public Methods,1,1,0
SMTPCommand,Cyclomatic,2,2,0
SMTPCommand,Cohesion,0,0,0
SMTPConnectionClosedException,Coupled,1,1,0
SMTPConnectionClosedException,Derived,0,0,0
SMTPConnectionClosedException,Public Methods,0,0,0
